PA,2016-03-23T16:20:00.000Z,Snow,Juniata,2466
PA,2016-03-23T16:20:00.000Z,Snow,Lebanon,2492
PA,2016-03-23T16:20:00.000Z,Snow,Franklin,2439
PA,2016-03-23T16:20:00.000Z,Snow,Blair,2328
PA,2016-03-23T16:20:00.000Z,Snow,Fulton,2446
PA,2016-03-23T16:20:00.000Z,Snow,Montgomery,2528
PA,2016-03-23T16:20:00.000Z,Snow,Lancaster,2482
PA,2016-03-23T16:20:00.000Z,Snow,Northampton,2537
PA,2016-03-23T16:20:00.000Z,Snow,Perry,2554
PA,2016-03-23T16:20:00.000Z,Snow,Lehigh,2496
PA,2016-03-23T16:20:00.000Z,Snow,Schuylkill,2581
PA,2016-03-23T16:20:00.000Z,Snow,Somerset,2589
PA,2016-03-23T16:20:00.000Z,Snow,Westmoreland,2394
PA,2016-03-23T16:20:00.000Z,Snow,York,2419
PA,2016-03-23T16:20:00.000Z,Snow,Philadelphia,2563
KS,2017-06-16T11:51:00.000Z,Snow,Cherokee,732
KS,2017-06-16T11:51:00.000Z,Snow,Crawford,756
KS,2017-06-16T11:51:00.000Z,Snow,Cheyenne,736
KS,2017-06-16T11:51:00.000Z,Snow,Finney,778
KS,2017-06-16T11:51:00.000Z,Snow,Graham,791
KS,2017-06-16T11:51:00.000Z,Snow,Grant,794
KS,2017-06-16T11:51:00.000Z,Snow,Gove,790
KS,2017-06-16T11:51:00.000Z,Snow,Greeley,801
KS,2017-06-16T11:51:00.000Z,Snow,Haskell,815
KS,2017-06-16T11:51:00.000Z,Snow,Decatur,759
KS,2017-06-16T11:51:00.000Z,Snow,Logan,842
KS,2017-06-16T11:51:00.000Z,Snow,Norton,866
KS,2017-06-16T11:51:00.000Z,Snow,Rawlins,880
KS,2017-06-16T11:51:00.000Z,Snow,Morton,859
KS,2017-06-16T11:51:00.000Z,Snow,Kearny,826
KS,2017-06-16T11:51:00.000Z,Snow,Sheridan,904
KS,2017-06-16T11:51:00.000Z,Snow,Hamilton,805
KS,2017-06-16T11:51:00.000Z,Snow,Lane,833
KS,2017-06-16T11:51:00.000Z,Snow,Sherman,907
KS,2017-06-16T11:51:00.000Z,Snow,Seward,900
KS,2017-06-16T11:51:00.000Z,Snow,Scott,897
KS,2017-06-16T11:51:00.000Z,Snow,Neosho,862
KS,2017-06-16T11:51:00.000Z,Snow,Stevens,914
KS,2017-06-16T11:51:00.000Z,Snow,Thomas,917
KS,2017-06-16T11:51:00.000Z,Snow,Wallace,921
KS,2017-06-16T11:51:00.000Z,Snow,Wichita,923
KS,2017-06-16T11:51:00.000Z,Snow,Stanton,913
NY,2017-07-12T08:00:00.000Z,Snow,Albany,1673
NY,2017-07-12T08:00:00.000Z,Snow,Broome,1683
NY,2017-07-12T08:00:00.000Z,Snow,Chenango,1699
NY,2017-07-12T08:00:00.000Z,Snow,Clinton,1702
NY,2017-07-12T08:00:00.000Z,Snow,Columbia,1704
NY,2017-07-12T08:00:00.000Z,Snow,Cortland,1706
NY,2017-07-12T08:00:00.000Z,Snow,Delaware,1707
NY,2017-07-12T08:00:00.000Z,Snow,Dutchess,1711
NY,2017-07-12T08:00:00.000Z,Snow,Franklin,1731
NY,2017-07-12T08:00:00.000Z,Snow,Fulton,1734
NY,2017-07-12T08:00:00.000Z,Snow,Greene,1739
NY,2017-07-12T08:00:00.000Z,Snow,Hamilton,1742
NY,2017-07-12T08:00:00.000Z,Snow,Essex,1728
NY,2017-07-12T08:00:00.000Z,Snow,Herkimer,1745
NY,2017-07-12T08:00:00.000Z,Snow,Madison,1796
NY,2017-07-12T08:00:00.000Z,Snow,Montgomery,1807
NY,2017-07-12T08:00:00.000Z,Snow,Oneida,1852
NY,2017-07-12T08:00:00.000Z,Snow,Orleans,1862
NY,2017-07-12T08:00:00.000Z,Snow,Otsego,1868
NY,2017-07-12T08:00:00.000Z,Snow,Rensselaer,1874
NY,2017-07-12T08:00:00.000Z,Snow,Saratoga,1885
NY,2017-07-12T08:00:00.000Z,Snow,Schenectady,1887
NY,2017-07-12T08:00:00.000Z,Snow,Schoharie,1888
NY,2017-07-12T08:00:00.000Z,Snow,Sullivan,1928
NY,2017-07-12T08:00:00.000Z,Snow,Tioga,1930
NY,2017-07-12T08:00:00.000Z,Snow,Tompkins,1933
NY,2017-07-12T08:00:00.000Z,Snow,Ulster,1935
NY,2017-07-12T08:00:00.000Z,Snow,Suffolk,1924
NH,2018-06-08T19:15:00.000Z,Snow,Strafford,1453
NH,2018-06-08T19:15:00.000Z,Snow,Carroll,1435
NE,2018-06-29T12:45:00.000Z,Snow,Blaine,1309
NE,2018-06-29T12:45:00.000Z,Snow,Boyd,1317
NE,2018-06-29T12:45:00.000Z,Snow,Cheyenne,1334
NE,2018-06-29T12:45:00.000Z,Snow,Clay,1336
NE,2018-06-29T12:45:00.000Z,Snow,Antelope,1305
NE,2018-06-29T12:45:00.000Z,Snow,Deuel,1351
NE,2018-06-29T12:45:00.000Z,Snow,Fillmore,1363
NE,2018-06-29T12:45:00.000Z,Snow,Custer,1342
NE,2018-06-29T12:45:00.000Z,Snow,Greeley,1397
NE,2018-06-29T12:45:00.000Z,Snow,Hall,1402
NE,2018-06-29T12:45:00.000Z,Snow,Gosper,1393
NE,2018-06-29T12:45:00.000Z,Snow,Garfield,1391
NE,2018-06-29T12:45:00.000Z,Snow,Holt,1416
NE,2018-06-29T12:45:00.000Z,Snow,Howard,1311
NE,2018-06-29T12:45:00.000Z,Snow,Hamilton,1405
NE,2018-06-29T12:45:00.000Z,Snow,Knox,1322
NE,2018-06-29T12:45:00.000Z,Snow,Boone,1310
NE,2018-06-29T12:45:00.000Z,Snow,Logan,1328
NE,2018-06-29T12:45:00.000Z,Snow,Loup,1331
NE,2018-06-29T12:45:00.000Z,Snow,Nuckolls,1345
NE,2018-06-29T12:45:00.000Z,Snow,Keith,1316
NE,2018-06-29T12:45:00.000Z,Snow,Madison,1335
NE,2018-06-29T12:45:00.000Z,Snow,Merrick,1337
NE,2018-06-29T12:45:00.000Z,Snow,Valley,1386
NE,2018-06-29T12:45:00.000Z,Snow,Platte,1359
NE,2018-06-29T12:45:00.000Z,Snow,Nance,1341
NE,2018-06-29T12:45:00.000Z,Snow,Pierce,1356
NE,2018-06-29T12:45:00.000Z,Snow,Wheeler,1390
NE,2018-06-29T12:45:00.000Z,Snow,Sherman,1377
NE,2018-06-29T12:45:00.000Z,Snow,Rock,1366
NE,2018-06-29T12:45:00.000Z,Snow,Webster,1389
MA,2018-07-19T08:40:00.000Z,Snow,Suffolk,1585
